,filepaths,labels
8779,../input/100-bird-species/train/CINNAMON TEAL/058.jpg,CINNAMON TEAL
8780,../input/100-bird-species/train/CINNAMON TEAL/059.jpg,CINNAMON TEAL
8781,../input/100-bird-species/train/CINNAMON TEAL/060.jpg,CINNAMON TEAL
8782,../input/100-bird-species/train/CINNAMON TEAL/061.jpg,CINNAMON TEAL
8783,../input/100-bird-species/train/CINNAMON TEAL/062.jpg,CINNAMON TEAL
8784,../input/100-bird-species/train/CINNAMON TEAL/063.jpg,CINNAMON TEAL
8785,../input/100-bird-species/train/CINNAMON TEAL/064.jpg,CINNAMON TEAL
8786,../input/100-bird-species/train/CINNAMON TEAL/065.jpg,CINNAMON TEAL
8787,../input/100-bird-species/train/CINNAMON TEAL/066.jpg,CINNAMON TEAL
8788,../input/100-bird-species/train/CINNAMON TEAL/067.jpg,CINNAMON TEAL
8789,../input/100-bird-species/train/CINNAMON TEAL/068.jpg,CINNAMON TEAL
8790,../input/100-bird-species/train/CINNAMON TEAL/069.jpg,CINNAMON TEAL
8791,../input/100-bird-species/train/CINNAMON TEAL/070.jpg,CINNAMON TEAL
8792,../input/100-bird-species/train/CINNAMON TEAL/071.jpg,CINNAMON TEAL
8793,../input/100-bird-species/train/CINNAMON TEAL/072.jpg,CINNAMON TEAL
8794,../input/100-bird-species/train/CINNAMON TEAL/073.jpg,CINNAMON TEAL
8795,../input/100-bird-species/train/CINNAMON TEAL/074.jpg,CINNAMON TEAL
8796,../input/100-bird-species/train/CINNAMON TEAL/075.jpg,CINNAMON TEAL
8797,../input/100-bird-species/train/CINNAMON TEAL/076.jpg,CINNAMON TEAL
8798,../input/100-bird-species/train/CINNAMON TEAL/077.jpg,CINNAMON TEAL
8799,../input/100-bird-species/train/CINNAMON TEAL/078.jpg,CINNAMON TEAL
8800,../input/100-bird-species/train/CINNAMON TEAL/079.jpg,CINNAMON TEAL
8801,../input/100-bird-species/train/CINNAMON TEAL/080.jpg,CINNAMON TEAL
8802,../input/100-bird-species/train/CINNAMON TEAL/081.jpg,CINNAMON TEAL
8803,../input/100-bird-species/train/CINNAMON TEAL/082.jpg,CINNAMON TEAL
8804,../input/100-bird-species/train/CINNAMON TEAL/083.jpg,CINNAMON TEAL
8805,../input/100-bird-species/train/CINNAMON TEAL/084.jpg,CINNAMON TEAL
8806,../input/100-bird-species/train/CINNAMON TEAL/085.jpg,CINNAMON TEAL
8807,../input/100-bird-species/train/CINNAMON TEAL/086.jpg,CINNAMON TEAL
8808,../input/100-bird-species/train/CINNAMON TEAL/087.jpg,CINNAMON TEAL
8809,../input/100-bird-species/train/CINNAMON TEAL/088.jpg,CINNAMON TEAL
8810,../input/100-bird-species/train/CINNAMON TEAL/089.jpg,CINNAMON TEAL
8811,../input/100-bird-species/train/CINNAMON TEAL/090.jpg,CINNAMON TEAL
8812,../input/100-bird-species/train/CINNAMON TEAL/091.jpg,CINNAMON TEAL
8813,../input/100-bird-species/train/CINNAMON TEAL/092.jpg,CINNAMON TEAL
8814,../input/100-bird-species/train/CINNAMON TEAL/093.jpg,CINNAMON TEAL
8815,../input/100-bird-species/train/CINNAMON TEAL/094.jpg,CINNAMON TEAL
8816,../input/100-bird-species/train/CINNAMON TEAL/095.jpg,CINNAMON TEAL
8817,../input/100-bird-species/train/CINNAMON TEAL/096.jpg,CINNAMON TEAL
8818,../input/100-bird-species/train/CINNAMON TEAL/097.jpg,CINNAMON TEAL
8819,../input/100-bird-species/train/CINNAMON TEAL/098.jpg,CINNAMON TEAL
8820,../input/100-bird-species/train/CINNAMON TEAL/099.jpg,CINNAMON TEAL
8821,../input/100-bird-species/train/CINNAMON TEAL/100.jpg,CINNAMON TEAL
8822,../input/100-bird-species/train/CINNAMON TEAL/101.jpg,CINNAMON TEAL
8823,../input/100-bird-species/train/CINNAMON TEAL/102.jpg,CINNAMON TEAL
8824,../input/100-bird-species/train/CINNAMON TEAL/103.jpg,CINNAMON TEAL
8825,../input/100-bird-species/train/CINNAMON TEAL/104.jpg,CINNAMON TEAL
8826,../input/100-bird-species/train/CINNAMON TEAL/105.jpg,CINNAMON TEAL
8827,../input/100-bird-species/train/CINNAMON TEAL/106.jpg,CINNAMON TEAL
8828,../input/100-bird-species/train/CINNAMON TEAL/107.jpg,CINNAMON TEAL
8829,../input/100-bird-species/train/CINNAMON TEAL/108.jpg,CINNAMON TEAL
8830,../input/100-bird-species/train/CINNAMON TEAL/109.jpg,CINNAMON TEAL
8831,../input/100-bird-species/train/CINNAMON TEAL/110.jpg,CINNAMON TEAL
8832,../input/100-bird-species/train/CINNAMON TEAL/111.jpg,CINNAMON TEAL
8833,../input/100-bird-species/train/CINNAMON TEAL/112.jpg,CINNAMON TEAL
8834,../input/100-bird-species/train/CINNAMON TEAL/113.jpg,CINNAMON TEAL
8835,../input/100-bird-species/train/CINNAMON TEAL/114.jpg,CINNAMON TEAL
8836,../input/100-bird-species/train/CINNAMON TEAL/115.jpg,CINNAMON TEAL
8837,../input/100-bird-species/train/CINNAMON TEAL/116.jpg,CINNAMON TEAL
8838,../input/100-bird-species/train/CINNAMON TEAL/117.jpg,CINNAMON TEAL
8839,../input/100-bird-species/train/COCK OF THE  ROCK/001.jpg,COCK OF THE  ROCK
8840,../input/100-bird-species/train/COCK OF THE  ROCK/002.jpg,COCK OF THE  ROCK
8841,../input/100-bird-species/train/COCK OF THE  ROCK/003.jpg,COCK OF THE  ROCK
8842,../input/100-bird-species/train/COCK OF THE  ROCK/004.jpg,COCK OF THE  ROCK
8843,../input/100-bird-species/train/COCK OF THE  ROCK/005.jpg,COCK OF THE  ROCK
8844,../input/100-bird-species/train/COCK OF THE  ROCK/006.jpg,COCK OF THE  ROCK
8845,../input/100-bird-species/train/COCK OF THE  ROCK/007.jpg,COCK OF THE  ROCK
8846,../input/100-bird-species/train/COCK OF THE  ROCK/008.jpg,COCK OF THE  ROCK
8847,../input/100-bird-species/train/COCK OF THE  ROCK/009.jpg,COCK OF THE  ROCK
8848,../input/100-bird-species/train/COCK OF THE  ROCK/010.jpg,COCK OF THE  ROCK
8849,../input/100-bird-species/train/COCK OF THE  ROCK/011.jpg,COCK OF THE  ROCK
8850,../input/100-bird-species/train/COCK OF THE  ROCK/012.jpg,COCK OF THE  ROCK
8851,../input/100-bird-species/train/COCK OF THE  ROCK/013.jpg,COCK OF THE  ROCK
8852,../input/100-bird-species/train/COCK OF THE  ROCK/014.jpg,COCK OF THE  ROCK
8853,../input/100-bird-species/train/COCK OF THE  ROCK/015.jpg,COCK OF THE  ROCK
8854,../input/100-bird-species/train/COCK OF THE  ROCK/016.jpg,COCK OF THE  ROCK
8855,../input/100-bird-species/train/COCK OF THE  ROCK/017.jpg,COCK OF THE  ROCK
8856,../input/100-bird-species/train/COCK OF THE  ROCK/018.jpg,COCK OF THE  ROCK
8857,../input/100-bird-species/train/COCK OF THE  ROCK/019.jpg,COCK OF THE  ROCK
8858,../input/100-bird-species/train/COCK OF THE  ROCK/020.jpg,COCK OF THE  ROCK
8859,../input/100-bird-species/train/COCK OF THE  ROCK/021.jpg,COCK OF THE  ROCK
8860,../input/100-bird-species/train/COCK OF THE  ROCK/022.jpg,COCK OF THE  ROCK
8861,../input/100-bird-species/train/COCK OF THE  ROCK/023.jpg,COCK OF THE  ROCK
8862,../input/100-bird-species/train/COCK OF THE  ROCK/024.jpg,COCK OF THE  ROCK
8863,../input/100-bird-species/train/COCK OF THE  ROCK/025.jpg,COCK OF THE  ROCK
8864,../input/100-bird-species/train/COCK OF THE  ROCK/026.jpg,COCK OF THE  ROCK
8865,../input/100-bird-species/train/COCK OF THE  ROCK/027.jpg,COCK OF THE  ROCK
8866,../input/100-bird-species/train/COCK OF THE  ROCK/028.jpg,COCK OF THE  ROCK
8867,../input/100-bird-species/train/COCK OF THE  ROCK/029.jpg,COCK OF THE  ROCK
8868,../input/100-bird-species/train/COCK OF THE  ROCK/030.jpg,COCK OF THE  ROCK
8869,../input/100-bird-species/train/COCK OF THE  ROCK/031.jpg,COCK OF THE  ROCK
8870,../input/100-bird-species/train/COCK OF THE  ROCK/032.jpg,COCK OF THE  ROCK
8871,../input/100-bird-species/train/COCK OF THE  ROCK/033.jpg,COCK OF THE  ROCK
8872,../input/100-bird-species/train/COCK OF THE  ROCK/034.jpg,COCK OF THE  ROCK
8873,../input/100-bird-species/train/COCK OF THE  ROCK/035.jpg,COCK OF THE  ROCK
8874,../input/100-bird-species/train/COCK OF THE  ROCK/036.jpg,COCK OF THE  ROCK
8875,../input/100-bird-species/train/COCK OF THE  ROCK/037.jpg,COCK OF THE  ROCK
8876,../input/100-bird-species/train/COCK OF THE  ROCK/038.jpg,COCK OF THE  ROCK
8877,../input/100-bird-species/train/COCK OF THE  ROCK/039.jpg,COCK OF THE  ROCK
8878,../input/100-bird-species/train/COCK OF THE  ROCK/040.jpg,COCK OF THE  ROCK
8879,../input/100-bird-species/train/COCK OF THE  ROCK/041.jpg,COCK OF THE  ROCK
8880,../input/100-bird-species/train/COCK OF THE  ROCK/042.jpg,COCK OF THE  ROCK
8881,../input/100-bird-species/train/COCK OF THE  ROCK/043.jpg,COCK OF THE  ROCK
8882,../input/100-bird-species/train/COCK OF THE  ROCK/044.jpg,COCK OF THE  ROCK
8883,../input/100-bird-species/train/COCK OF THE  ROCK/045.jpg,COCK OF THE  ROCK
8884,../input/100-bird-species/train/COCK OF THE  ROCK/046.jpg,COCK OF THE  ROCK
8885,../input/100-bird-species/train/COCK OF THE  ROCK/047.jpg,COCK OF THE  ROCK
8886,../input/100-bird-species/train/COCK OF THE  ROCK/048.jpg,COCK OF THE  ROCK
8887,../input/100-bird-species/train/COCK OF THE  ROCK/049.jpg,COCK OF THE  ROCK
8888,../input/100-bird-species/train/COCK OF THE  ROCK/050.jpg,COCK OF THE  ROCK
8889,../input/100-bird-species/train/COCK OF THE  ROCK/051.jpg,COCK OF THE  ROCK
8890,../input/100-bird-species/train/COCK OF THE  ROCK/052.jpg,COCK OF THE  ROCK
8891,../input/100-bird-species/train/COCK OF THE  ROCK/053.jpg,COCK OF THE  ROCK
8892,../input/100-bird-species/train/COCK OF THE  ROCK/054.jpg,COCK OF THE  ROCK
8893,../input/100-bird-species/train/COCK OF THE  ROCK/055.jpg,COCK OF THE  ROCK
8894,../input/100-bird-species/train/COCK OF THE  ROCK/056.jpg,COCK OF THE  ROCK
8895,../input/100-bird-species/train/COCK OF THE  ROCK/057.jpg,COCK OF THE  ROCK
8896,../input/100-bird-species/train/COCK OF THE  ROCK/058.jpg,COCK OF THE  ROCK
8897,../input/100-bird-species/train/COCK OF THE  ROCK/059.jpg,COCK OF THE  ROCK
8898,../input/100-bird-species/train/COCK OF THE  ROCK/060.jpg,COCK OF THE  ROCK
8899,../input/100-bird-species/train/COCK OF THE  ROCK/061.jpg,COCK OF THE  ROCK
8900,../input/100-bird-species/train/COCK OF THE  ROCK/062.jpg,COCK OF THE  ROCK
8901,../input/100-bird-species/train/COCK OF THE  ROCK/063.jpg,COCK OF THE  ROCK
8902,../input/100-bird-species/train/COCK OF THE  ROCK/064.jpg,COCK OF THE  ROCK
8903,../input/100-bird-species/train/COCK OF THE  ROCK/065.jpg,COCK OF THE  ROCK
8904,../input/100-bird-species/train/COCK OF THE  ROCK/066.jpg,COCK OF THE  ROCK
8905,../input/100-bird-species/train/COCK OF THE  ROCK/067.jpg,COCK OF THE  ROCK
8906,../input/100-bird-species/train/COCK OF THE  ROCK/068.jpg,COCK OF THE  ROCK
8907,../input/100-bird-species/train/COCK OF THE  ROCK/069.jpg,COCK OF THE  ROCK
8908,../input/100-bird-species/train/COCK OF THE  ROCK/070.jpg,COCK OF THE  ROCK
8909,../input/100-bird-species/train/COCK OF THE  ROCK/071.jpg,COCK OF THE  ROCK
8910,../input/100-bird-species/train/COCK OF THE  ROCK/072.jpg,COCK OF THE  ROCK
8911,../input/100-bird-species/train/COCK OF THE  ROCK/073.jpg,COCK OF THE  ROCK
8912,../input/100-bird-species/train/COCK OF THE  ROCK/074.jpg,COCK OF THE  ROCK
8913,../input/100-bird-species/train/COCK OF THE  ROCK/075.jpg,COCK OF THE  ROCK
8914,../input/100-bird-species/train/COCK OF THE  ROCK/076.jpg,COCK OF THE  ROCK
8915,../input/100-bird-species/train/COCK OF THE  ROCK/077.jpg,COCK OF THE  ROCK
8916,../input/100-bird-species/train/COCK OF THE  ROCK/078.jpg,COCK OF THE  ROCK
8917,../input/100-bird-species/train/COCK OF THE  ROCK/079.jpg,COCK OF THE  ROCK
8918,../input/100-bird-species/train/COCK OF THE  ROCK/080.jpg,COCK OF THE  ROCK
8919,../input/100-bird-species/train/COCK OF THE  ROCK/081.jpg,COCK OF THE  ROCK
8920,../input/100-bird-species/train/COCK OF THE  ROCK/082.jpg,COCK OF THE  ROCK
8921,../input/100-bird-species/train/COCK OF THE  ROCK/083.jpg,COCK OF THE  ROCK
8922,../input/100-bird-species/train/COCK OF THE  ROCK/084.jpg,COCK OF THE  ROCK
8923,../input/100-bird-species/train/COCK OF THE  ROCK/085.jpg,COCK OF THE  ROCK
8924,../input/100-bird-species/train/COCK OF THE  ROCK/086.jpg,COCK OF THE  ROCK
8925,../input/100-bird-species/train/COCK OF THE  ROCK/087.jpg,COCK OF THE  ROCK
8926,../input/100-bird-species/train/COCK OF THE  ROCK/088.jpg,COCK OF THE  ROCK
8927,../input/100-bird-species/train/COCK OF THE  ROCK/089.jpg,COCK OF THE  ROCK
8928,../input/100-bird-species/train/COCK OF THE  ROCK/090.jpg,COCK OF THE  ROCK
8929,../input/100-bird-species/train/COCK OF THE  ROCK/091.jpg,COCK OF THE  ROCK
8930,../input/100-bird-species/train/COCK OF THE  ROCK/092.jpg,COCK OF THE  ROCK
8931,../input/100-bird-species/train/COCK OF THE  ROCK/093.jpg,COCK OF THE  ROCK
8932,../input/100-bird-species/train/COCK OF THE  ROCK/094.jpg,COCK OF THE  ROCK
8933,../input/100-bird-species/train/COCK OF THE  ROCK/095.jpg,COCK OF THE  ROCK
8934,../input/100-bird-species/train/COCK OF THE  ROCK/096.jpg,COCK OF THE  ROCK
8935,../input/100-bird-species/train/COCK OF THE  ROCK/097.jpg,COCK OF THE  ROCK
8936,../input/100-bird-species/train/COCK OF THE  ROCK/098.jpg,COCK OF THE  ROCK
8937,../input/100-bird-species/train/COCK OF THE  ROCK/099.jpg,COCK OF THE  ROCK
8938,../input/100-bird-species/train/COCK OF THE  ROCK/100.jpg,COCK OF THE  ROCK
8939,../input/100-bird-species/train/COCK OF THE  ROCK/101.jpg,COCK OF THE  ROCK
8940,../input/100-bird-species/train/COCK OF THE  ROCK/102.jpg,COCK OF THE  ROCK
8941,../input/100-bird-species/train/COCK OF THE  ROCK/103.jpg,COCK OF THE  ROCK
8942,../input/100-bird-species/train/COCK OF THE  ROCK/104.jpg,COCK OF THE  ROCK
8943,../input/100-bird-species/train/COCK OF THE  ROCK/105.jpg,COCK OF THE  ROCK
8944,../input/100-bird-species/train/COCK OF THE  ROCK/106.jpg,COCK OF THE  ROCK
8945,../input/100-bird-species/train/COCK OF THE  ROCK/107.jpg,COCK OF THE  ROCK
8946,../input/100-bird-species/train/COCK OF THE  ROCK/108.jpg,COCK OF THE  ROCK
8947,../input/100-bird-species/train/COCK OF THE  ROCK/109.jpg,COCK OF THE  ROCK
8948,../input/100-bird-species/train/COCK OF THE  ROCK/110.jpg,COCK OF THE  ROCK
8949,../input/100-bird-species/train/COCK OF THE  ROCK/111.jpg,COCK OF THE  ROCK
8950,../input/100-bird-species/train/COCK OF THE  ROCK/112.jpg,COCK OF THE  ROCK
8951,../input/100-bird-species/train/COCK OF THE  ROCK/113.jpg,COCK OF THE  ROCK
8952,../input/100-bird-species/train/COCK OF THE  ROCK/114.jpg,COCK OF THE  ROCK
8953,../input/100-bird-species/train/COCK OF THE  ROCK/115.jpg,COCK OF THE  ROCK
8954,../input/100-bird-species/train/COCK OF THE  ROCK/116.jpg,COCK OF THE  ROCK
8955,../input/100-bird-species/train/COCK OF THE  ROCK/117.jpg,COCK OF THE  ROCK
8956,../input/100-bird-species/train/COCK OF THE  ROCK/118.jpg,COCK OF THE  ROCK
8957,../input/100-bird-species/train/COCK OF THE  ROCK/119.jpg,COCK OF THE  ROCK
8958,../input/100-bird-species/train/COCK OF THE  ROCK/120.jpg,COCK OF THE  ROCK
8959,../input/100-bird-species/train/COCK OF THE  ROCK/121.jpg,COCK OF THE  ROCK
8960,../input/100-bird-species/train/COCK OF THE  ROCK/122.jpg,COCK OF THE  ROCK
8961,../input/100-bird-species/train/COCK OF THE  ROCK/123.jpg,COCK OF THE  ROCK
8962,../input/100-bird-species/train/COCK OF THE  ROCK/124.jpg,COCK OF THE  ROCK
8963,../input/100-bird-species/train/COCKATOO/001.jpg,COCKATOO
8964,../input/100-bird-species/train/COCKATOO/002.jpg,COCKATOO
8965,../input/100-bird-species/train/COCKATOO/003.jpg,COCKATOO
8966,../input/100-bird-species/train/COCKATOO/004.jpg,COCKATOO
8967,../input/100-bird-species/train/COCKATOO/005.jpg,COCKATOO
8968,../input/100-bird-species/train/COCKATOO/006.jpg,COCKATOO
8969,../input/100-bird-species/train/COCKATOO/007.jpg,COCKATOO
8970,../input/100-bird-species/train/COCKATOO/008.jpg,COCKATOO
8971,../input/100-bird-species/train/COCKATOO/009.jpg,COCKATOO
8972,../input/100-bird-species/train/COCKATOO/010.jpg,COCKATOO
8973,../input/100-bird-species/train/COCKATOO/011.jpg,COCKATOO
8974,../input/100-bird-species/train/COCKATOO/012.jpg,COCKATOO
8975,../input/100-bird-species/train/COCKATOO/013.jpg,COCKATOO
8976,../input/100-bird-species/train/COCKATOO/014.jpg,COCKATOO
8977,../input/100-bird-species/train/COCKATOO/015.jpg,COCKATOO
8978,../input/100-bird-species/train/COCKATOO/016.jpg,COCKATOO
8979,../input/100-bird-species/train/COCKATOO/017.jpg,COCKATOO
8980,../input/100-bird-species/train/COCKATOO/018.jpg,COCKATOO
8981,../input/100-bird-species/train/COCKATOO/019.jpg,COCKATOO
8982,../input/100-bird-species/train/COCKATOO/020.jpg,COCKATOO
8983,../input/100-bird-species/train/COCKATOO/021.jpg,COCKATOO
8984,../input/100-bird-species/train/COCKATOO/022.jpg,COCKATOO
8985,../input/100-bird-species/train/COCKATOO/023.jpg,COCKATOO
8986,../input/100-bird-species/train/COCKATOO/024.jpg,COCKATOO
8987,../input/100-bird-species/train/COCKATOO/025.jpg,COCKATOO
8988,../input/100-bird-species/train/COCKATOO/026.jpg,COCKATOO
8989,../input/100-bird-species/train/COCKATOO/027.jpg,COCKATOO
8990,../input/100-bird-species/train/COCKATOO/028.jpg,COCKATOO
8991,../input/100-bird-species/train/COCKATOO/029.jpg,COCKATOO
8992,../input/100-bird-species/train/COCKATOO/030.jpg,COCKATOO
8993,../input/100-bird-species/train/COCKATOO/031.jpg,COCKATOO
8994,../input/100-bird-species/train/COCKATOO/032.jpg,COCKATOO
8995,../input/100-bird-species/train/COCKATOO/033.jpg,COCKATOO
8996,../input/100-bird-species/train/COCKATOO/034.jpg,COCKATOO
8997,../input/100-bird-species/train/COCKATOO/035.jpg,COCKATOO
8998,../input/100-bird-species/train/COCKATOO/036.jpg,COCKATOO
8999,../input/100-bird-species/train/COCKATOO/037.jpg,COCKATOO
9000,../input/100-bird-species/train/COCKATOO/038.jpg,COCKATOO
9001,../input/100-bird-species/train/COCKATOO/039.jpg,COCKATOO
9002,../input/100-bird-species/train/COCKATOO/040.jpg,COCKATOO
9003,../input/100-bird-species/train/COCKATOO/041.jpg,COCKATOO
9004,../input/100-bird-species/train/COCKATOO/042.jpg,COCKATOO
9005,../input/100-bird-species/train/COCKATOO/043.jpg,COCKATOO
9006,../input/100-bird-species/train/COCKATOO/044.jpg,COCKATOO
9007,../input/100-bird-species/train/COCKATOO/045.jpg,COCKATOO
9008,../input/100-bird-species/train/COCKATOO/046.jpg,COCKATOO
9009,../input/100-bird-species/train/COCKATOO/047.jpg,COCKATOO
9010,../input/100-bird-species/train/COCKATOO/048.jpg,COCKATOO
9011,../input/100-bird-species/train/COCKATOO/049.jpg,COCKATOO
9012,../input/100-bird-species/train/COCKATOO/050.jpg,COCKATOO
9013,../input/100-bird-species/train/COCKATOO/051.jpg,COCKATOO
9014,../input/100-bird-species/train/COCKATOO/052.jpg,COCKATOO
9015,../input/100-bird-species/train/COCKATOO/053.jpg,COCKATOO
9016,../input/100-bird-species/train/COCKATOO/054.jpg,COCKATOO
9017,../input/100-bird-species/train/COCKATOO/055.jpg,COCKATOO
9018,../input/100-bird-species/train/COCKATOO/056.jpg,COCKATOO
9019,../input/100-bird-species/train/COCKATOO/057.jpg,COCKATOO
9020,../input/100-bird-species/train/COCKATOO/058.jpg,COCKATOO
9021,../input/100-bird-species/train/COCKATOO/059.jpg,COCKATOO
9022,../input/100-bird-species/train/COCKATOO/060.jpg,COCKATOO
9023,../input/100-bird-species/train/COCKATOO/061.jpg,COCKATOO
9024,../input/100-bird-species/train/COCKATOO/062.jpg,COCKATOO
9025,../input/100-bird-species/train/COCKATOO/063.jpg,COCKATOO
9026,../input/100-bird-species/train/COCKATOO/064.jpg,COCKATOO
9027,../input/100-bird-species/train/COCKATOO/065.jpg,COCKATOO
9028,../input/100-bird-species/train/COCKATOO/066.jpg,COCKATOO
9029,../input/100-bird-species/train/COCKATOO/067.jpg,COCKATOO
9030,../input/100-bird-species/train/COCKATOO/068.jpg,COCKATOO
9031,../input/100-bird-species/train/COCKATOO/069.jpg,COCKATOO
9032,../input/100-bird-species/train/COCKATOO/070.jpg,COCKATOO
9033,../input/100-bird-species/train/COCKATOO/071.jpg,COCKATOO
9034,../input/100-bird-species/train/COCKATOO/072.jpg,COCKATOO
9035,../input/100-bird-species/train/COCKATOO/073.jpg,COCKATOO
9036,../input/100-bird-species/train/COCKATOO/074.jpg,COCKATOO
9037,../input/100-bird-species/train/COCKATOO/075.jpg,COCKATOO
9038,../input/100-bird-species/train/COCKATOO/076.jpg,COCKATOO
9039,../input/100-bird-species/train/COCKATOO/077.jpg,COCKATOO
9040,../input/100-bird-species/train/COCKATOO/078.jpg,COCKATOO
9041,../input/100-bird-species/train/COCKATOO/079.jpg,COCKATOO
9042,../input/100-bird-species/train/COCKATOO/080.jpg,COCKATOO
9043,../input/100-bird-species/train/COCKATOO/081.jpg,COCKATOO
9044,../input/100-bird-species/train/COCKATOO/082.jpg,COCKATOO
9045,../input/100-bird-species/train/COCKATOO/083.jpg,COCKATOO
9046,../input/100-bird-species/train/COCKATOO/084.jpg,COCKATOO
9047,../input/100-bird-species/train/COCKATOO/085.jpg,COCKATOO
9048,../input/100-bird-species/train/COCKATOO/086.jpg,COCKATOO
9049,../input/100-bird-species/train/COCKATOO/087.jpg,COCKATOO
9050,../input/100-bird-species/train/COCKATOO/088.jpg,COCKATOO
9051,../input/100-bird-species/train/COCKATOO/089.jpg,COCKATOO
9052,../input/100-bird-species/train/COCKATOO/090.jpg,COCKATOO
9053,../input/100-bird-species/train/COCKATOO/091.jpg,COCKATOO
9054,../input/100-bird-species/train/COCKATOO/092.jpg,COCKATOO
9055,../input/100-bird-species/train/COCKATOO/093.jpg,COCKATOO
9056,../input/100-bird-species/train/COCKATOO/094.jpg,COCKATOO
9057,../input/100-bird-species/train/COCKATOO/095.jpg,COCKATOO
9058,../input/100-bird-species/train/COCKATOO/096.jpg,COCKATOO
9059,../input/100-bird-species/train/COCKATOO/097.jpg,COCKATOO
9060,../input/100-bird-species/train/COCKATOO/098.jpg,COCKATOO
9061,../input/100-bird-species/train/COCKATOO/099.jpg,COCKATOO
9062,../input/100-bird-species/train/COCKATOO/100.jpg,COCKATOO
9063,../input/100-bird-species/train/COCKATOO/101.jpg,COCKATOO
9064,../input/100-bird-species/train/COCKATOO/102.jpg,COCKATOO
9065,../input/100-bird-species/train/COCKATOO/103.jpg,COCKATOO
9066,../input/100-bird-species/train/COCKATOO/104.jpg,COCKATOO
9067,../input/100-bird-species/train/COCKATOO/105.jpg,COCKATOO
9068,../input/100-bird-species/train/COCKATOO/106.jpg,COCKATOO
9069,../input/100-bird-species/train/COCKATOO/107.jpg,COCKATOO
9070,../input/100-bird-species/train/COCKATOO/108.jpg,COCKATOO
9071,../input/100-bird-species/train/COCKATOO/109.jpg,COCKATOO
9072,../input/100-bird-species/train/COCKATOO/110.jpg,COCKATOO
9073,../input/100-bird-species/train/COCKATOO/111.jpg,COCKATOO
9074,../input/100-bird-species/train/COCKATOO/112.jpg,COCKATOO
9075,../input/100-bird-species/train/COCKATOO/113.jpg,COCKATOO
9076,../input/100-bird-species/train/COCKATOO/114.jpg,COCKATOO
9077,../input/100-bird-species/train/COCKATOO/115.jpg,COCKATOO
9078,../input/100-bird-species/train/COCKATOO/116.jpg,COCKATOO
9079,../input/100-bird-species/train/COCKATOO/117.jpg,COCKATOO
9080,../input/100-bird-species/train/COCKATOO/118.jpg,COCKATOO
9081,../input/100-bird-species/train/COCKATOO/119.jpg,COCKATOO
9082,../input/100-bird-species/train/COCKATOO/120.jpg,COCKATOO
9083,../input/100-bird-species/train/COCKATOO/121.jpg,COCKATOO
9084,../input/100-bird-species/train/COCKATOO/122.jpg,COCKATOO
9085,../input/100-bird-species/train/COCKATOO/123.jpg,COCKATOO
9086,../input/100-bird-species/train/COCKATOO/124.jpg,COCKATOO
9087,../input/100-bird-species/train/COCKATOO/125.jpg,COCKATOO
9088,../input/100-bird-species/train/COCKATOO/126.jpg,COCKATOO
9089,../input/100-bird-species/train/COCKATOO/127.jpg,COCKATOO
9090,../input/100-bird-species/train/COCKATOO/128.jpg,COCKATOO
9091,../input/100-bird-species/train/COCKATOO/129.jpg,COCKATOO
9092,../input/100-bird-species/train/COCKATOO/130.jpg,COCKATOO
9093,../input/100-bird-species/train/COCKATOO/131.jpg,COCKATOO
9094,../input/100-bird-species/train/COCKATOO/132.jpg,COCKATOO
9095,../input/100-bird-species/train/COCKATOO/133.jpg,COCKATOO
9096,../input/100-bird-species/train/COCKATOO/134.jpg,COCKATOO
9097,../input/100-bird-species/train/COCKATOO/135.jpg,COCKATOO
9098,../input/100-bird-species/train/COCKATOO/136.jpg,COCKATOO
9099,../input/100-bird-species/train/COCKATOO/137.jpg,COCKATOO
9100,../input/100-bird-species/train/COCKATOO/138.jpg,COCKATOO
9101,../input/100-bird-species/train/COCKATOO/139.jpg,COCKATOO
9102,../input/100-bird-species/train/COCKATOO/140.jpg,COCKATOO
9103,../input/100-bird-species/train/COCKATOO/141.jpg,COCKATOO
9104,../input/100-bird-species/train/COCKATOO/142.jpg,COCKATOO
9105,../input/100-bird-species/train/COCKATOO/143.jpg,COCKATOO
9106,../input/100-bird-species/train/COCKATOO/144.jpg,COCKATOO
9107,../input/100-bird-species/train/COCKATOO/145.jpg,COCKATOO
9108,../input/100-bird-species/train/COCKATOO/146.jpg,COCKATOO
9109,../input/100-bird-species/train/COCKATOO/147.jpg,COCKATOO
9110,../input/100-bird-species/train/COCKATOO/148.jpg,COCKATOO
9111,../input/100-bird-species/train/COCKATOO/149.jpg,COCKATOO
9112,../input/100-bird-species/train/COCKATOO/150.jpg,COCKATOO
9113,../input/100-bird-species/train/COCKATOO/151.jpg,COCKATOO
9114,../input/100-bird-species/train/COCKATOO/152.jpg,COCKATOO
9115,../input/100-bird-species/train/COCKATOO/153.jpg,COCKATOO
9116,../input/100-bird-species/train/COCKATOO/154.jpg,COCKATOO
9117,../input/100-bird-species/train/COCKATOO/155.jpg,COCKATOO
9118,../input/100-bird-species/train/COCKATOO/156.jpg,COCKATOO
9119,../input/100-bird-species/train/COCKATOO/157.jpg,COCKATOO
9120,../input/100-bird-species/train/COCKATOO/158.jpg,COCKATOO
9121,../input/100-bird-species/train/COCKATOO/159.jpg,COCKATOO
